                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     79,                 1.3731,                 1.3766,                 1.4093,                0.44038,                0.32339,                0.30723,                0.14726,                 2.0287,                 2.0206,                 2.0286,             0.00098761,             0.00098761,             0.00098761
                     80,                  1.379,                 1.3883,                 1.4238,                0.45502,                0.32526,                0.31102,                0.16246,                 1.9299,                 1.9564,                 1.9545,             0.00098195,             0.00098195,             0.00098195
                     81,                 1.3545,                 1.3715,                 1.4022,                0.46002,                0.33046,                0.31221,                0.16822,                 1.9345,                 1.9978,                 2.0316,             0.00097629,             0.00097629,             0.00097629
                     82,                 1.3465,                  1.369,                 1.4024,                0.45468,                0.35165,                0.31284,                0.16572,                 1.9514,                 1.9587,                 1.9866,             0.00097063,             0.00097063,             0.00097063
                     83,                 1.3483,                   1.38,                  1.411,                0.43153,                0.32802,                 0.3101,                0.15903,                 1.9347,                 2.0074,                 1.9866,             0.00096498,             0.00096498,             0.00096498
                     84,                 1.3609,                 1.3721,                 1.3987,                0.48022,                0.32839,                0.30469,                0.16325,                 1.9716,                 1.9529,                 1.9917,             0.00095932,             0.00095932,             0.00095932
                     85,                 1.3332,                 1.3709,                  1.401,                0.45041,                0.31796,                0.29069,                0.14776,                 1.9889,                 2.0703,                 2.0366,             0.00095366,             0.00095366,             0.00095366
                     86,                 1.3503,                 1.3455,                 1.3956,                0.49873,                0.34314,                0.32065,                0.16223,                 1.9694,                 1.9844,                 2.0017,               0.000948,               0.000948,               0.000948
                     87,                 1.3001,                 1.3049,                 1.3734,                0.42835,                0.33849,                0.29472,                0.15307,                 1.9978,                 2.0293,                  2.028,             0.00094234,             0.00094234,             0.00094234
                     88,                 1.3126,                 1.3144,                 1.3777,                0.50537,                 0.3038,                0.31676,                0.16595,                 1.9868,                 1.9779,                 2.0124,             0.00093668,             0.00093668,             0.00093668
                     89,                 1.3229,                 1.3132,                 1.3782,                0.45301,                0.35215,                 0.3259,                0.17224,                 1.9622,                 1.9725,                 2.0145,             0.00093102,             0.00093102,             0.00093102
                     90,                 1.3039,                 1.2695,                 1.3623,                 0.4706,                0.32827,                0.31614,                0.16161,                 2.0089,                 1.9843,                 2.0342,             0.00092536,             0.00092536,             0.00092536
                     91,                 1.3184,                 1.3094,                 1.3855,                0.48582,                0.32508,                0.31816,                0.16712,                 2.0029,                 1.9443,                  2.056,              0.0009197,              0.0009197,              0.0009197
                     92,                 1.3402,                 1.3103,                 1.3918,                0.43521,                0.32909,                0.31614,                0.16227,                 1.9705,                  1.983,                 2.0003,             0.00091405,             0.00091405,             0.00091405
                     93,                 1.3012,                  1.319,                 1.3803,                0.47228,                0.30853,                0.29716,                0.15955,                 1.9477,                 2.0368,                 2.0072,             0.00090839,             0.00090839,             0.00090839
                     94,                 1.2862,                 1.2696,                 1.3725,                0.48179,                0.32997,                 0.3169,                0.16767,                 2.0084,                 1.9767,                 2.0946,             0.00090273,             0.00090273,             0.00090273
                     95,                 1.2964,                 1.2655,                 1.3577,                0.55199,                0.29853,                0.31728,                0.16228,                 1.9864,                 2.0106,                 2.0587,             0.00089707,             0.00089707,             0.00089707
                     96,                 1.2932,                 1.2712,                 1.3661,                0.49057,                0.32779,                0.29955,                0.15488,                 1.9809,                 2.0111,                 2.0112,             0.00089141,             0.00089141,             0.00089141
                     97,                 1.2565,                 1.2333,                 1.3484,                0.45028,                0.28972,                0.27325,                0.13762,                 2.0633,                 2.0532,                  2.038,             0.00088575,             0.00088575,             0.00088575
                     98,                 1.2601,                 1.2404,                 1.3449,                0.42797,                0.31692,                0.28928,                0.15197,                 1.9826,                  2.036,                 2.0246,             0.00088009,             0.00088009,             0.00088009
                     99,                 1.2742,                 1.2407,                 1.3475,                0.33498,                 0.3195,                0.26071,                0.12382,                  2.095,                 2.1379,                 2.1317,             0.00087443,             0.00087443,             0.00087443
                    100,                 1.2465,                 1.2239,                 1.3421,                0.41398,                0.29445,                0.26211,                0.12751,                 2.0898,                 2.2648,                 2.1249,             0.00086877,             0.00086877,             0.00086877
                    101,                 1.2565,                  1.216,                 1.3466,                0.49345,                0.32859,                0.30743,                0.14805,                 2.0657,                 1.9904,                 2.1148,             0.00086312,             0.00086312,             0.00086312
                    102,                 1.2551,                 1.2056,                 1.3391,                0.45515,                0.34188,                0.30386,                0.15178,                 2.0513,                 2.0083,                 2.0915,             0.00085746,             0.00085746,             0.00085746
                    103,                 1.2593,                 1.2075,                 1.3469,                0.45347,                0.34006,                0.30462,                0.15259,                 2.0375,                 2.0058,                  2.078,              0.0008518,              0.0008518,              0.0008518
                    104,                 1.2256,                 1.1772,                 1.3225,                0.43761,                0.36825,                0.31753,                0.15222,                 1.9981,                 1.9394,                 2.0517,             0.00084614,             0.00084614,             0.00084614
                    105,                 1.2382,                 1.1555,                 1.3219,                0.40966,                 0.3306,                0.28797,                0.14074,                 2.0414,                 2.0211,                 2.0926,             0.00084048,             0.00084048,             0.00084048
                    106,                 1.2107,                 1.1408,                  1.315,                0.43444,                0.35155,                0.29415,                0.14795,                  2.036,                 2.0302,                 2.1201,             0.00083482,             0.00083482,             0.00083482
                    107,                 1.2253,                 1.1405,                 1.3226,                0.45948,                0.33115,                0.30766,                0.16043,                  2.022,                 1.9709,                 2.0868,             0.00082916,             0.00082916,             0.00082916
                    108,                 1.1917,                 1.1334,                 1.3033,                0.42754,                0.33801,                0.30174,                0.15236,                 2.0593,                 2.0404,                 2.1505,              0.0008235,              0.0008235,              0.0008235
                    109,                  1.193,                 1.1383,                 1.3026,                0.48205,                0.30572,                0.29704,                0.15317,                 2.0114,                 1.9478,                 2.0576,             0.00081785,             0.00081785,             0.00081785
                    110,                 1.2176,                 1.1598,                 1.3203,                0.44274,                0.29244,                0.28043,                0.14861,                 1.9778,                 2.0389,                 2.0348,             0.00081219,             0.00081219,             0.00081219
                    111,                 1.2067,                 1.1628,                 1.3105,                0.43089,                0.31812,                 0.2815,                0.14701,                 2.1036,                 2.0531,                 2.1655,             0.00080653,             0.00080653,             0.00080653
                    112,                 1.2197,                 1.1785,                 1.3138,                0.44033,                0.32587,                0.28983,                0.15014,                 2.0529,                 2.0042,                 2.0992,             0.00080087,             0.00080087,             0.00080087
                    113,                 1.1954,                 1.1257,                 1.3042,                0.47636,                0.30528,                0.29347,                0.14989,                 2.0364,                 1.9904,                 2.0895,             0.00079521,             0.00079521,             0.00079521
                    114,                 1.1886,                 1.1458,                 1.3011,                0.51745,                0.31241,                0.31035,                0.16143,                 2.0553,                 1.9811,                 2.1671,             0.00078955,             0.00078955,             0.00078955
                    115,                  1.177,                 1.1101,                 1.2857,                0.51913,                0.32441,                0.31711,                0.16275,                 2.0222,                 1.9778,                 2.1232,             0.00078389,             0.00078389,             0.00078389
                    116,                 1.1678,                  1.095,                 1.2969,                0.45761,                0.33714,                0.30686,                0.15721,                 2.0079,                 1.9735,                 2.1288,             0.00077823,             0.00077823,             0.00077823
                    117,                 1.1644,                 1.0843,                 1.2923,                0.48511,                0.33872,                0.31957,                0.16556,                 2.0314,                 1.9586,                 2.1442,             0.00077257,             0.00077257,             0.00077257
                    118,                 1.1681,                  1.107,                 1.2913,                 0.4458,                0.35012,                0.31125,                0.15339,                   2.08,                 1.9598,                 2.1397,             0.00076692,             0.00076692,             0.00076692
                    119,                 1.1777,                 1.0966,                 1.2817,                0.48058,                0.31999,                0.30971,                0.16436,                 2.0108,                  2.015,                 2.1106,             0.00076126,             0.00076126,             0.00076126
                    120,                 1.1583,                 1.0799,                 1.2825,                  0.507,                0.31362,                0.30981,                0.16098,                 2.0138,                 2.0518,                  2.111,              0.0007556,              0.0007556,              0.0007556
                    121,                 1.1434,                 1.0425,                 1.2673,                0.49482,                0.32586,                0.30588,                0.14373,                 2.0921,                 2.0203,                 2.1317,             0.00074994,             0.00074994,             0.00074994
                    122,                 1.1566,                 1.0681,                 1.2864,                0.48188,                0.34176,                0.31311,                0.15649,                 2.0664,                  2.021,                 2.1501,             0.00074428,             0.00074428,             0.00074428
                    123,                 1.1574,                 1.0724,                 1.2807,                0.45863,                0.32747,                0.30783,                0.15551,                 2.0245,                 1.9984,                 2.1114,             0.00073862,             0.00073862,             0.00073862
                    124,                  1.132,                   1.06,                 1.2791,                0.44336,                0.32295,                0.29962,                0.15527,                 2.0165,                 2.0495,                 2.1318,             0.00073296,             0.00073296,             0.00073296
                    125,                 1.1616,                 1.0742,                 1.2762,                0.50395,                0.31038,                0.30637,                0.15396,                 2.0425,                 2.0798,                 2.1465,              0.0007273,              0.0007273,              0.0007273
                    126,                 1.1437,                 1.0608,                 1.2674,                 0.4421,                0.32316,                0.28815,                 0.1462,                 2.0856,                 2.1132,                 2.1871,             0.00072164,             0.00072164,             0.00072164
                    127,                 1.1301,                  1.017,                 1.2512,                0.50593,                0.34562,                0.32389,                0.16259,                 2.0198,                 1.9425,                 2.1147,             0.00071599,             0.00071599,             0.00071599
                    128,                 1.1252,                 1.0196,                 1.2537,                0.47083,                0.33596,                0.31576,                0.16727,                  2.029,                 1.9488,                  2.101,             0.00071033,             0.00071033,             0.00071033
                    129,                 1.0993,                 1.0137,                  1.249,                0.46025,                0.32348,                0.30181,                0.15909,                 2.0284,                 1.9968,                 2.1296,             0.00070467,             0.00070467,             0.00070467
                    130,                 1.1139,                 1.0341,                 1.2591,                0.44187,                0.31008,                0.26723,                0.13071,                 2.1598,                 2.1062,                 2.2167,             0.00069901,             0.00069901,             0.00069901
                    131,                 1.1123,                  1.044,                 1.2581,                 0.4581,                0.30658,                0.28161,                0.13693,                 2.1035,                 2.0084,                 2.1974,             0.00069335,             0.00069335,             0.00069335
                    132,                 1.1277,                 1.0186,                 1.2576,                0.43932,                0.34979,                0.29762,                0.14766,                 2.0732,                 2.0147,                 2.1746,             0.00068769,             0.00068769,             0.00068769
                    133,                 1.0813,                0.99328,                 1.2374,                0.42892,                0.31162,                0.27377,                0.12965,                 2.1436,                 2.1929,                 2.2876,             0.00068203,             0.00068203,             0.00068203
                    134,                 1.1044,                 1.0249,                 1.2575,                0.52208,                0.31601,                0.31402,                0.16212,                 2.0514,                 1.9612,                 2.1557,             0.00067637,             0.00067637,             0.00067637
                    135,                 1.0939,                0.99441,                 1.2437,                0.46143,                 0.3518,                0.31201,                0.15742,                 2.0453,                 1.9691,                 2.1699,             0.00067072,             0.00067072,             0.00067072
                    136,                 1.0918,                0.99391,                 1.2449,                0.49985,                0.33068,                0.31974,                0.16614,                 2.0355,                 1.9723,                 2.1388,             0.00066506,             0.00066506,             0.00066506
                    137,                 1.0825,                  0.971,                 1.2288,                0.44963,                0.34193,                0.31658,                0.16219,                 2.0354,                 2.0428,                 2.1518,              0.0006594,              0.0006594,              0.0006594
                    138,                 1.0596,                0.96547,                 1.2183,                0.44788,                0.35916,                0.31234,                0.15855,                 2.0854,                 2.0381,                 2.2213,             0.00065374,             0.00065374,             0.00065374
                    139,                 1.0741,                0.97127,                 1.2313,                0.48529,                0.30921,                0.29562,                0.14871,                 2.1273,                 2.0922,                 2.2606,             0.00064808,             0.00064808,             0.00064808
